IdRegistro,IdPermeabilidad,Peso1,Peso2,Permeabilidad
REG-0012245,1,50,134.0,168
REG-0012246,1,50,127.0,154
REG-0012247,1,50,133.0,166
REG-0012248,1,50,132.0,164
REG-0012249,1,50,137.0,174
REG-0012250,1,50,132.0,164
REG-0012251,1,50,130.0,160
REG-0012252,1,50,127.0,154
REG-0012253,1,50,134.0,168
REG-0012254,1,50,132.0,164
REG-0012255,1,50,124.0,148
REG-0012256,1,50,126.0,152
REG-0012257,1,50,126.0,152
REG-0012258,1,50,128.0,156
REG-0012259,1,50,128.0,156
REG-0012260,1,50,128.0,156
REG-0012261,1,50,126.0,152
REG-0012262,1,50,128.0,156
REG-0012263,1,50,128.0,156
REG-0012264,1,50,124.0,148
REG-0012265,1,50,126.0,152
REG-0012266,1,50,127.0,154
REG-0012267,1,50,125.0,150
REG-0012268,1,50,128.0,156
REG-0012269,1,50,130.0,160
REG-0012270,1,50,132.0,164
REG-0012271,1,50,130.0,160
REG-0012272,1,50,130.0,160
REG-0012273,1,50,128.0,156
REG-0012274,1,50,142.0,184
REG-0012275,1,50,142.0,184
REG-0012276,1,50,146.0,192
REG-0012277,1,50,140.0,180
REG-0012278,1,50,139.0,178
REG-0012279,1,50,135.0,170
REG-0012280,1,50,132.0,164
REG-0012281,1,50,130.0,160
REG-0012282,1,50,140.0,180
REG-0012283,1,50,138.0,176
REG-0012284,1,50,134.0,168
REG-0012285,1,50,135.0,170
REG-0012286,1,50,138.0,176
REG-0012287,1,50,134.0,168
REG-0012288,1,50,138.0,176
REG-0012289,1,50,140.0,180
REG-0012290,1,50,138.0,176
REG-0012291,1,50,134.0,168
REG-0012292,1,50,134.0,168
REG-0012293,1,50,140.0,180
REG-0012294,1,50,150.0,200
REG-0012295,1,50,155.0,210
REG-0012296,1,50,152.0,204
REG-0012297,1,50,154.0,208
REG-0012298,1,50,134.0,168
REG-0012299,1,50,133.0,166
REG-0012300,1,50,130.0,160
REG-0012301,1,50,135.0,170
REG-0012302,1,50,135.0,170
REG-0012303,1,50,133.0,166
REG-0012304,1,50,134.0,168
REG-0012305,1,50,134.0,168
REG-0012306,1,50,136.0,172
REG-0012307,1,50,140.0,180
REG-0012308,1,50,138.0,176
REG-0012309,1,50,136.0,172
REG-0012310,1,50,138.0,176
REG-0012311,1,50,136.0,172
REG-0012312,1,50,140.0,180
REG-0012313,1,50,138.0,176
REG-0012314,1,50,138.0,176
REG-0012315,1,50,136.0,172
REG-0012316,1,50,134.0,168
REG-0012317,1,50,135.0,170
REG-0012318,1,50,145.0,190
REG-0012319,1,50,146.0,192
REG-0012320,1,50,134.0,168
REG-0012321,1,50,135.0,170
REG-0012322,1,50,138.0,176
REG-0012323,1,50,140.0,180
REG-0012324,1,50,141.0,182
REG-0012325,1,50,136.0,172
REG-0012326,1,50,140.0,180
REG-0012327,1,50,139.0,178
REG-0012328,1,50,140.0,180
REG-0012329,1,50,140.0,180
REG-0012330,1,50,138.0,176
REG-0012331,1,50,138.0,176
REG-0012332,1,50,136.0,172
REG-0012333,1,50,138.0,176
REG-0012334,1,50,134.0,168
REG-0012335,1,50,136.0,172
REG-0012336,1,50,138.0,176
REG-0012337,1,50,140.0,180
REG-0012338,1,50,138.0,176
REG-0012339,1,50,136.0,172
REG-0012340,1,50,134.0,168
REG-0012341,1,50,132.0,164
REG-0012342,1,50,132.0,164
REG-0012343,1,50,139.0,178
REG-0012344,1,50,132.0,164
REG-0012345,1,50,133.0,166
REG-0012346,1,50,138.0,176
REG-0012347,1,50,138.0,176
REG-0012348,1,50,128.0,156
REG-0012349,1,50,138.0,176
REG-0012350,1,50,126.0,152
REG-0012351,1,50,126.0,152
REG-0012352,1,50,130.0,160
REG-0012353,1,50,130.0,160
REG-0012354,1,50,138.0,176
REG-0012355,1,50,136.0,172
REG-0012356,1,50,130.0,160
REG-0012357,1,50,138.0,176
REG-0012358,1,50,137.0,174
REG-0012359,1,50,136.0,172
REG-0012360,1,50,129.0,158
REG-0012361,1,50,138.0,176
REG-0012362,1,50,128.0,156
REG-0012363,1,50,138.0,176
REG-0012364,1,50,129.0,158
REG-0012365,1,50,133.0,166
REG-0012366,1,50,140.0,180
REG-0012367,1,50,132.0,164
REG-0012368,1,50,135.0,170
REG-0012369,1,50,134.0,168
REG-0012370,1,50,128.0,156
REG-0012371,1,50,140.0,180
REG-0012372,1,50,140.0,180
REG-0012373,1,50,138.0,176
REG-0012374,1,50,136.0,172
REG-0012375,1,50,134.0,168
REG-0012376,1,50,134.0,168
REG-0012377,1,50,130.0,160
REG-0012378,1,50,132.0,164
REG-0012379,1,50,130.0,160
REG-0012380,1,50,136.0,172
REG-0012381,1,50,135.0,170
REG-0012382,1,50,122.0,144
REG-0012383,1,50,130.0,160
REG-0012384,1,50,129.0,158
REG-0012385,1,50,126.0,152
REG-0012386,1,50,125.0,150
REG-0012387,1,50,126.0,152
REG-0012388,1,50,126.0,152
REG-0012389,1,50,130.0,160
REG-0012390,1,50,128.0,156
REG-0012391,1,50,138.0,176
REG-0012392,1,50,131.0,162
REG-0012393,1,50,135.0,170
REG-0012394,1,50,130.0,160
REG-0012395,1,50,135.0,170
REG-0012396,1,50,131.0,162
REG-0012397,1,50,140.0,180
REG-0012398,1,50,129.0,158
REG-0012399,1,50,136.0,172
REG-0012400,1,50,130.0,160
REG-0012401,1,50,136.0,172
REG-0012402,1,50,134.0,168
REG-0012403,1,50,136.0,172
REG-0012404,1,50,134.0,168
REG-0012405,1,50,128.0,156
REG-0012406,1,50,136.0,172
REG-0012407,1,50,132.0,164
REG-0012408,1,50,134.0,168
REG-0012409,1,50,135.0,170
REG-0012410,1,50,140.0,180
REG-0012411,1,50,134.0,168
REG-0012412,1,50,132.0,164
REG-0012413,1,50,122.0,144
REG-0012414,1,50,130.0,160
REG-0012415,1,50,124.0,148
REG-0012416,1,50,134.0,168
REG-0012417,1,50,125.0,150
REG-0012418,1,50,138.0,176
REG-0012419,1,50,134.0,168
REG-0012420,1,50,131.0,162
REG-0012421,1,50,128.0,156
REG-0012422,1,50,131.0,162
REG-0012423,1,50,137.0,174
REG-0012424,1,50,129.0,158
REG-0012425,1,50,135.0,170
REG-0012426,1,50,129.0,158
REG-0012427,1,50,130.0,160
REG-0012428,1,50,132.0,164
REG-0012429,1,50,134.0,168
REG-0012430,1,50,128.0,156
REG-0012431,1,50,134.0,168
REG-0012432,1,50,136.0,172
REG-0012433,1,50,138.0,176
REG-0012434,1,50,131.0,162
REG-0012435,1,50,126.0,152
REG-0012436,1,50,128.0,156
REG-0012437,1,50,136.0,172
REG-0012438,1,50,125.0,150
REG-0012439,1,50,123.0,146
REG-0012440,1,50,129.0,158
REG-0012441,1,50,130.0,160
REG-0012442,1,50,130.0,160
REG-0012443,1,50,124.0,148
REG-0012444,1,50,125.0,150
