IdRegistro,Proceso,Tamano,Fecha,IdTurno,IdIngeniero,IdTecnico,IdProducto,IdLinea,Hora,Lote,FechaProduccion,IdEtapa,TolvaPorEnvasar,CantidadBolsas,Toneladas,CodigoQM,IdDisenoProducto,IdAutorizador,VerEspTecnica,VerEtiqueta,VerFormula,Agrupador
REG-0012062,Extruido,"0,8",1/4/2026,2,,1,80,9,03:30:00,PE260104B0,04/01/26,3,,0,0,,619,,,,11,HD14399
REG-0012063,Extruido,"0,8",1/4/2026,2,,1,81,8,05:30:00,PE260104A0,04/01/26,3,,0,0,,621,,,,256,HD14257
REG-0012064,Extruido,"0,8",1/4/2026,2,,1,80,9,05:30:00,PE260104B0,04/01/26,3,,0,0,,619,,,,11,HD14399
REG-0012065,Extruido,"0,8",1/4/2026,2,,1,81,8,05:45:00,PE260104A0,04/01/26,1,,2420,60.5,40000482842-40000482869,621,1.0,,,256,HD14257
REG-0012066,Extruido,"0,8",1/4/2026,2,,1,80,9,05:45:00,PE260104B0,04/01/26,1,,1989,49.725,40000482838-40000482870,619,1.0,,,11,HD14399
REG-0012067,Extruido,"0,8",1/5/2026,1,,2,80,9,07:40:00,PE260105B0,05/01/26,3,,0,0,,619,,,,12,HD14399
REG-0012068,Extruido,"0,8",1/5/2026,1,,2,80,9,09:15:00,PE260105B0,05/01/26,3,,0,0,,619,,,,12,HD14399
REG-0012069,Extruido,"0,8",1/5/2026,1,,2,78,8,11:00:00,PE260105A0,05/01/26,2,,0,0,,617,,,,165,HD14810
REG-0012070,Extruido,"0,8",1/5/2026,1,,2,80,9,11:00:00,PE260105B0,05/01/26,3,,0,0,,619,,,,12,HD14399
REG-0012071,Extruido,"0,8",1/5/2026,1,,2,78,8,01:30:00,PE260105A0,05/01/26,3,,0,0,,617,,,,165,HD14810
REG-0012072,Extruido,"0,8",1/5/2026,1,,2,80,9,01:30:00,PE260105B0,05/01/26,3,,0,0,,619,,,,12,HD14399
REG-0012073,Extruido,"0,8",1/5/2026,1,,2,78,8,14:30:00,PE260105A0,05/01/26,1,,594,14.85,40000482768,617,1.0,,,165,HD14810
REG-0012074,Extruido,"0,8",1/5/2026,1,,2,80,9,14:30:00,PE260105B0,05/01/26,1,,726,18.15,40000482771,619,1.0,,,12,HD14399
REG-0012075,Extruido,"0,8",1/5/2026,2,,1,78,8,15:30:00,PE260105A0,05/01/26,3,,0,0,,617,,,,165,HD14810
REG-0012076,Extruido,"0,8",1/5/2026,2,,1,80,9,15:30:00,PE260105B0,05/01/26,3,,0,0,,619,,,,12,HD14399
REG-0012077,Extruido,"0,8",1/5/2026,2,,1,78,8,17:30:00,PE260105A0,05/01/26,3,,0,0,,617,,,,165,HD14810
REG-0012078,Extruido,"0,8",1/5/2026,2,,1,80,9,17:30:00,PE260105B0,05/01/26,3,,0,0,,619,,,,12,HD14399
REG-0012079,Extruido,"0,8",1/5/2026,2,,1,78,8,19:30:00,PE260105A0,05/01/26,3,,0,0,,617,,,,165,HD14810
REG-0012080,Extruido,"0,8",1/5/2026,2,,1,80,9,19:30:00,PE260105B0,05/01/26,3,,0,0,,619,,,,12,HD14399
REG-0012081,Extruido,"0,8",1/5/2026,2,,1,78,8,21:00:00,PE260105A0,05/01/26,3,,0,0,,617,,,,165,HD14810
REG-0012082,Extruido,"0,8",1/5/2026,2,,1,78,8,21:30:00,PE260105A0,05/01/26,1,,1122,28.05,40000482885,617,1.0,,,165,HD14810
REG-0012083,Extruido,"0,8",1/5/2026,2,,1,80,9,21:30:00,PE260105B0,05/01/26,1,,924,23.1,40000482886,619,1.0,,,12,HD14399
REG-0012084,Extruido,"0,8",1/5/2026,3,,6,78,8,23:45:00,PE260105A0,05/01/26,3,,0,0,,617,,,,165,HD14810
REG-0012085,Extruido,"0,8",1/5/2026,3,,6,80,9,00:35:00,PE260105B0,05/01/26,2,,0,0,,619,,,,12,HD14399
REG-0012086,Extruido,"0,8",1/5/2026,3,,6,78,8,00:40:00,PE260105A0,05/01/26,3,,0,0,,617,,,,165,HD14810
REG-0012087,Extruido,"0,8",1/5/2026,3,,6,78,8,03:00:00,PE260105A0,05/01/26,3,,0,0,,617,,,,165,HD14810
REG-0012088,Extruido,"0,8",1/5/2026,3,,6,80,9,03:30:00,PE260105B0,05/01/26,1,,630,15.75,40000482790,619,1.0,,,12,HD14399
REG-0012089,Extruido,"0,8",1/5/2026,3,,6,81,9,05:10:00,PE260105B0,05/01/26,2,,0,0,,621,,,,257,HD14257
REG-0012090,Extruido,"0,8",1/5/2026,3,,6,78,8,05:00:00,PE260105A0,05/01/26,1,,1176,29.4,40000482789,617,1.0,,,165,HD14810
REG-0012091,Extruido,"0,8",1/5/2026,3,,6,81,9,06:00:00,PE260105B0,05/01/26,1,,198,4.95,40000482791,621,1.0,,,257,HD14257
REG-0012092,Extruido,"0,8",1/6/2026,1,,2,78,8,07:40:00,PE260106A0,06/01/26,3,,0,0,,617,,,,165,HD14810
