IdRegistro,NroParticulas,Peso,TiempoHundimiento,PctFlotabilidad,PctHundimiento
REG-0012189,,15.0,35.0,0.02,99.98
REG-0012190,,15.0,29.0,0.08,99.92
REG-0012191,,15.0,31.0,0.17,99.83
REG-0012192,,15.0,41.0,0.06,99.94
REG-0012193,,15.0,35.0,0.09,99.91
REG-0012194,,15.0,27.0,0.05,99.95
REG-0012195,,15.0,65.0,0.17,99.83
REG-0012196,,15.0,73.0,0.21,99.79
REG-0012197,,15.0,55.0,0.2,99.8
REG-0012198,,15.0,120.0,0.1,99.9
REG-0012199,,15.0,120.0,0.19,99.81
REG-0012200,,15.0,120.0,0.42,99.58
REG-0012201,,15.0,65.0,0.12,99.88
REG-0012202,,15.0,120.0,0.19,99.81
REG-0012203,,15.0,92.0,0.11,99.89
REG-0012204,,15.0,52.0,0.02,99.98
REG-0012205,,15.0,78.0,0.1,99.9
REG-0012206,,15.0,90.0,0.06,99.94
REG-0012207,,15.0,34.0,0.03,99.97
REG-0012208,,15.0,78.0,0.06,99.94
REG-0012209,,15.0,48.0,0.03,99.97
REG-0012210,,15.0,54.0,0.07,99.93
REG-0012211,,15.0,120.0,0.21,99.79
REG-0012212,,15.0,42.0,0.04,99.96
REG-0012213,,15.0,110.0,0.18,99.82
REG-0012214,,15.0,78.0,0.05,99.95
REG-0012215,,15.0,120.0,0.35,99.65
REG-0012216,,15.0,28.0,0.09,99.91
REG-0012217,,15.0,24.0,0.02,99.98
REG-0012218,,15.0,31.0,0.09,99.91
REG-0012219,,15.0,27.0,0.07,99.93
REG-0012220,,15.0,19.0,0.08,99.92
REG-0012221,,15.0,29.0,0.12,99.88
REG-0012222,,15.0,120.0,0.12,99.88
REG-0012223,,15.0,120.0,0.09,99.91
REG-0012224,,15.0,120.0,0.1,99.9
REG-0012225,,15.0,120.0,0.29,99.71
REG-0012226,,15.0,120.0,0.16,99.84
REG-0012227,,15.0,19.0,0.04,99.96
REG-0012228,,15.0,27.0,0.05,99.95
REG-0012229,,15.0,27.0,0.06,99.94
REG-0012230,,15.0,120.0,0.13,99.87
REG-0012231,,15.0,78.0,0.02,99.98
REG-0012232,,15.0,32.0,0.01,99.99
REG-0012233,,15.0,54.0,0.03,99.97
REG-0012234,,15.0,48.0,0.02,99.98
REG-0012235,,15.0,34.0,0.03,99.97
REG-0012236,,15.0,42.0,0.03,99.97
REG-0012237,,15.0,70.0,0.04,99.96
REG-0012238,300.0,15.0,120.0,0.74,99.26
REG-0012239,25.0,15.0,120.0,0.07,99.93
REG-0012240,300.0,15.0,120.0,0.75,99.25
REG-0012241,310.0,15.0,120.0,0.95,99.05
REG-0012242,50.0,15.0,120.0,0.15,99.85
REG-0012243,110.0,15.0,120.0,0.39,99.61
REG-0012244,250.0,15.0,120.0,0.67,99.33
REG-0012245,80.0,15.0,120.0,0.24,99.76
REG-0012246,100.0,15.0,120.0,0.37,99.63
REG-0012247,150.0,15.0,98.0,0.32,99.68
REG-0012248,120.0,15.0,100.0,0.41,99.59
REG-0012249,150.0,15.0,120.0,0.42,99.58
REG-0012250,50.0,15.0,54.0,0.14,99.86
REG-0012251,45.0,15.0,22.0,0.12,99.88
REG-0012252,40.0,15.0,52.0,0.13,99.87
REG-0012253,120.0,15.0,98.0,0.31,99.69
REG-0012254,48.0,15.0,42.0,0.14,99.86
REG-0012255,40.0,15.0,75.0,0.1,99.9
REG-0012256,162.0,15.0,120.0,0.55,99.45
REG-0012257,28.0,15.0,45.0,0.09,99.91
REG-0012258,300.0,15.0,120.0,0.77,99.23
REG-0012259,100.0,15.0,80.0,0.37,99.63
REG-0012260,146.0,15.0,120.0,0.34,99.66
REG-0012261,100.0,15.0,88.0,0.33,99.67
REG-0012262,215.0,15.0,120.0,0.59,99.41
REG-0012263,100.0,15.0,84.0,0.44,99.56
REG-0012264,305.0,15.0,120.0,0.73,99.27
REG-0012265,165.0,15.0,120.0,0.69,99.31
REG-0012266,200.0,15.0,120.0,0.5,99.5
REG-0012267,120.0,15.0,120.0,0.38,99.63
REG-0012268,100.0,15.0,120.0,0.26,99.74
REG-0012269,10.0,15.0,120.0,0.04,99.96
REG-0012270,30.0,15.0,98.0,0.1,99.9
REG-0012271,60.0,15.0,54.0,0.2,99.8
REG-0012272,60.0,15.0,54.0,0.2,99.8
REG-0012273,48.0,15.0,42.0,0.17,99.83
REG-0012274,100.0,15.0,90.0,0.29,99.71
REG-0012275,90.0,15.0,55.0,0.26,99.74
REG-0012276,94.0,15.0,120.0,0.35,99.65
REG-0012277,150.0,15.0,94.0,0.58,99.42
REG-0012278,45.0,15.0,78.0,0.17,99.83
REG-0012279,120.0,15.0,120.0,0.45,99.55
REG-0012280,42.0,15.0,66.0,0.13,99.87
REG-0012281,90.0,15.0,82.0,0.31,99.69
REG-0012282,150.0,15.0,120.0,0.37,99.63
REG-0012283,50.0,15.0,78.0,0.18,99.82
REG-0012284,100.0,15.0,120.0,0.34,99.66
REG-0012285,100.0,15.0,120.0,0.31,99.69
REG-0012286,100.0,15.0,120.0,0.34,99.66
REG-0012287,100.0,15.0,120.0,0.28,99.72
REG-0012288,30.0,15.0,98.0,0.08,99.92
REG-0012289,110.0,15.0,78.0,0.31,99.69
REG-0012290,120.0,15.0,120.0,0.35,99.65
REG-0012291,140.0,15.0,120.0,0.48,99.52
REG-0012292,150.0,15.0,120.0,0.45,99.55
REG-0012293,50.0,15.0,66.0,0.16,99.84
REG-0012294,30.0,15.0,98.0,0.1,99.9
REG-0012295,69.0,15.0,92.0,0.22,99.78
REG-0012296,102.0,15.0,120.0,0.32,99.68
REG-0012297,150.0,15.0,120.0,0.47,99.53
REG-0012298,35.0,15.0,120.0,0.1,99.9
REG-0012299,50.0,15.0,92.0,0.15,99.85
REG-0012300,22.0,15.0,120.0,0.06,99.94
REG-0012301,35.0,15.0,90.0,0.11,99.89
REG-0012302,45.0,15.0,62.0,0.14,99.86
REG-0012303,33.0,15.0,120.0,0.1,99.9
REG-0012304,66.0,15.0,120.0,0.2,99.8
REG-0012305,66.0,15.0,120.0,0.2,99.8
REG-0012306,120.0,15.0,120.0,0.34,99.66
REG-0012307,38.0,15.0,87.0,0.1,99.9
REG-0012308,130.0,15.0,120.0,0.52,99.48
REG-0012309,45.0,15.0,80.0,0.16,99.84
REG-0012310,248.0,15.0,120.0,0.81,99.19
REG-0012311,65.0,15.0,88.0,0.2,99.8
REG-0012312,140.0,15.0,120.0,0.38,99.62
REG-0012313,38.0,15.0,74.0,0.13,99.87
REG-0012314,110.0,15.0,120.0,0.36,99.64
REG-0012315,100.0,15.0,88.0,0.33,99.67
REG-0012316,115.0,15.0,120.0,0.33,99.67
REG-0012317,88.0,15.0,120.0,0.28,99.72
REG-0012318,80.0,15.0,88.0,0.2,99.8
REG-0012319,150.0,15.0,120.0,0.45,99.55
REG-0012320,120.0,15.0,120.0,0.37,99.63
REG-0012321,94.0,15.0,85.0,0.28,99.72
REG-0012322,120.0,15.0,120.0,0.3,99.7
REG-0012323,60.0,15.0,70.0,0.18,99.82
REG-0012324,40.0,15.0,58.0,0.14,99.86
REG-0012325,32.0,15.0,48.0,0.09,99.91
REG-0012326,34.0,15.0,58.0,0.09,99.91
REG-0012327,130.0,15.0,94.0,0.37,99.63
REG-0012328,40.0,15.0,78.0,0.13,99.87
REG-0012329,100.0,15.0,110.0,0.3,99.7
REG-0012330,70.0,15.0,58.0,0.22,99.78
REG-0012331,70.0,15.0,70.0,0.22,99.78
REG-0012332,80.0,15.0,88.0,0.23,99.77
REG-0012333,77.0,15.0,120.0,0.24,99.76
REG-0012334,98.0,15.0,120.0,0.28,99.72
REG-0012335,48.0,15.0,120.0,0.26,99.74
REG-0012336,110.0,15.0,120.0,0.35,99.65
REG-0012337,70.0,15.0,88.0,0.25,99.75
REG-0012338,101.0,15.0,88.0,0.3,99.7
REG-0012339,80.0,15.0,77.0,0.24,99.76
REG-0012340,118.0,15.0,120.0,0.33,99.67
REG-0012341,88.0,15.0,120.0,0.29,99.71
REG-0012342,50.0,15.0,98.0,0.14,99.86
REG-0012343,100.0,15.0,79.0,0.25,99.75
REG-0012344,120.0,15.0,94.0,0.37,99.63
REG-0012345,38.0,15.0,32.0,0.14,99.86
REG-0012346,60.0,15.0,46.0,0.16,99.84
REG-0012347,50.0,15.0,74.0,0.14,99.86
REG-0012348,10.0,15.0,28.0,0.04,99.96
REG-0012349,10.0,15.0,65.0,0.04,99.97
REG-0012350,80.0,15.0,83.0,0.28,99.72
REG-0012351,32.0,15.0,54.0,0.12,99.88
REG-0012352,15.0,15.0,45.0,0.05,99.95
REG-0012353,30.0,15.0,32.0,0.11,99.89
REG-0012354,70.0,15.0,61.0,0.23,99.77
REG-0012355,45.0,15.0,84.0,0.17,99.83
REG-0012356,180.0,15.0,120.0,0.58,99.42
REG-0012357,7.0,15.0,30.0,0.03,99.97
REG-0012358,9.0,15.0,55.0,0.03,99.97
REG-0012359,8.0,15.0,45.0,0.02,99.98
REG-0012360,4.0,15.0,73.0,0.01,99.99
REG-0012361,4.0,15.0,56.0,0.01,99.99
REG-0012362,3.0,15.0,39.0,0.01,99.99
REG-0012363,11.0,15.0,62.0,0.03,99.97
REG-0012364,18.0,15.0,55.0,0.07,99.93
REG-0012365,12.0,15.0,120.0,0.03,99.97
REG-0012366,12.0,15.0,78.0,0.04,99.96
REG-0012367,8.0,15.0,32.0,0.02,99.98
REG-0012368,20.0,15.0,78.0,0.06,99.94
REG-0012369,15.0,15.0,54.0,0.05,99.95
REG-0012370,6.0,15.0,20.0,0.02,99.98
REG-0012371,15.0,15.0,32.0,0.05,99.95
REG-0012372,15.0,15.0,78.0,0.04,99.96
REG-0012373,15.0,15.0,32.0,0.05,99.95
REG-0012374,10.0,15.0,20.0,0.03,99.97
REG-0012375,20.0,15.0,24.0,0.07,99.93
REG-0012376,40.0,15.0,31.0,0.12,99.88
REG-0012377,20.0,15.0,20.0,0.06,99.94
REG-0012378,40.0,15.0,70.0,0.13,99.87
REG-0012379,10.0,15.0,45.0,0.03,99.97
REG-0012380,70.0,15.0,80.0,0.24,99.76
REG-0012381,50.0,15.0,40.0,0.18,99.82
REG-0012382,60.0,15.0,72.0,0.23,99.77
REG-0012383,80.0,15.0,94.0,0.26,99.74
REG-0012384,50.0,15.0,30.0,0.15,99.85
REG-0012385,10.0,15.0,22.0,0.14,99.86
REG-0012386,10.0,15.0,20.0,0.03,99.97
REG-0012387,30.0,15.0,58.0,0.1,99.9
REG-0012388,20.0,15.0,28.0,0.07,99.93
REG-0012389,50.0,15.0,78.0,0.18,99.82
REG-0012390,20.0,15.0,56.0,0.07,99.93
REG-0012391,150.0,15.0,120.0,0.38,99.62
REG-0012392,15.0,15.0,75.0,0.05,99.95
REG-0012393,30.0,15.0,66.0,0.07,99.93
REG-0012394,8.0,15.0,26.0,0.03,99.97
REG-0012395,30.0,15.0,120.0,0.07,99.93
REG-0012396,25.0,15.0,45.0,0.09,99.91
REG-0012397,155.0,15.0,120.0,0.48,99.52
REG-0012398,15.0,15.0,120.0,0.05,99.95
REG-0012399,80.0,15.0,120.0,0.26,99.74
REG-0012400,10.0,15.0,33.0,0.04,99.96
REG-0012401,24.0,15.0,34.0,0.07,99.93
REG-0012402,100.0,15.0,120.0,0.32,99.68
REG-0012403,20.0,15.0,33.0,0.06,99.94
REG-0012404,100.0,15.0,120.0,0.28,99.72
REG-0012405,30.0,15.0,78.0,0.09,99.91
REG-0012406,75.0,15.0,120.0,0.27,99.73
REG-0012407,24.0,15.0,77.0,0.07,99.93
REG-0012408,88.0,15.0,120.0,0.28,99.72
REG-0012409,70.0,15.0,88.0,0.24,99.76
REG-0012410,8.0,15.0,78.0,0.02,99.98
REG-0012411,22.0,15.0,40.0,0.05,99.95
REG-0012412,30.0,15.0,79.0,0.09,99.91
REG-0012413,20.0,15.0,78.0,0.05,99.95
REG-0012414,8.0,15.0,42.0,0.03,99.97
REG-0012415,10.0,15.0,32.0,0.03,99.97
REG-0012416,40.0,15.0,56.0,0.16,99.84
REG-0012417,12.0,15.0,62.0,0.03,99.97
REG-0012418,40.0,15.0,56.0,0.12,99.88
REG-0012419,35.0,15.0,94.0,0.11,99.89
REG-0012420,150.0,15.0,120.0,0.43,99.57
REG-0012421,45.0,15.0,120.0,0.13,99.87
REG-0012422,20.0,15.0,120.0,0.06,99.94
REG-0012423,8.0,15.0,55.0,0.03,99.97
REG-0012424,35.0,15.0,120.0,0.1,99.9
REG-0012425,18.0,15.0,36.0,0.06,99.94
REG-0012426,120.0,15.0,120.0,0.36,99.64
REG-0012427,30.0,15.0,51.0,0.1,99.9
REG-0012428,28.0,15.0,21.0,0.09,99.91
REG-0012429,40.0,15.0,45.0,0.11,99.89
REG-0012430,28.0,15.0,70.0,0.09,99.91
REG-0012431,50.0,15.0,120.0,0.16,99.84
REG-0012432,50.0,15.0,120.0,0.14,99.86
REG-0012433,24.0,15.0,120.0,0.08,99.92
REG-0012434,38.0,15.0,120.0,0.12,99.88
REG-0012435,20.0,15.0,78.0,0.07,99.93
REG-0012436,55.0,15.0,120.0,0.16,99.84
REG-0012437,44.0,15.0,120.0,0.14,99.86
REG-0012438,15.0,15.0,35.0,0.04,99.96
REG-0012439,10.0,15.0,39.0,0.03,99.97
REG-0012440,10.0,15.0,34.0,0.03,99.97
REG-0012441,12.0,15.0,37.0,0.04,99.96
REG-0012442,25.0,15.0,34.0,0.07,99.93
REG-0012443,12.0,15.0,37.0,0.04,99.96
REG-0012444,20.0,15.0,37.0,0.06,99.94
REG-0012445,20.0,15.0,35.0,0.06,99.94
