IdRegistro,IdRango,Valor
REG-0012050,147,21.05
REG-0012050,148,18.17
REG-0012050,149,10.22
REG-0012050,150,4.86
REG-0012050,151,2.45
REG-0012051,138,120
REG-0012051,139,140
REG-0012051,140,BUENA
REG-0012051,141,0
REG-0012051,142,0.07
REG-0012051,143,0.94
REG-0012051,144,7.96
REG-0012051,145,16.29
REG-0012051,146,12.7
REG-0012051,147,12.38
REG-0012051,148,11.99
REG-0012051,149,10.53
REG-0012051,150,8.27
REG-0012051,151,5.79
REG-0012052,138,125
REG-0012052,139,150
REG-0012052,140,BUENA
REG-0012052,141,0.01
REG-0012052,142,0.04
REG-0012052,143,1.06
REG-0012052,144,10.17
REG-0012052,145,18.04
REG-0012052,146,20.36
REG-0012052,147,19.34
REG-0012052,148,12.81
REG-0012052,149,6.5
REG-0012052,150,3.3
REG-0012052,151,2.04
REG-0012053,138,131
REG-0012053,139,162
REG-0012053,140,BUENA
REG-0012053,141,0.03
REG-0012053,142,0.39
REG-0012053,143,2.67
REG-0012053,144,41.84
REG-0012053,145,40.8
REG-0012053,146,6.34
REG-0012053,147,1.98
REG-0012053,148,1.17
REG-0012053,149,0.98
REG-0012053,150,0.94
REG-0012053,151,0.77
REG-0012054,138,122
REG-0012054,139,144
REG-0012054,140,BUENA
REG-0012054,141,0.01
REG-0012054,142,0.04
REG-0012054,143,0.64
REG-0012054,144,7.17
REG-0012054,145,12.71
REG-0012054,146,15.51
REG-0012054,147,19.08
REG-0012054,148,17.35
REG-0012054,149,11.12
REG-0012054,150,5.79
REG-0012054,151,3.02
REG-0012055,138,131
REG-0012055,139,162
REG-0012055,140,BUENA
REG-0012055,141,0.01
REG-0012055,142,0.17
REG-0012055,143,3.01
REG-0012055,144,25.12
REG-0012055,145,28.53
REG-0012055,146,17.07
REG-0012055,147,11.44
REG-0012055,148,6.31
REG-0012055,149,3.26
REG-0012055,150,1.7
REG-0012055,151,1.01
REG-0012056,138,128
REG-0012056,139,156
REG-0012056,140,BUENA
REG-0012056,141,0.01
REG-0012056,142,0.05
REG-0012056,143,1.03
REG-0012056,144,9.83
REG-0012056,145,15.8
REG-0012056,146,17.99
REG-0012056,147,19.74
REG-0012056,148,14.71
REG-0012056,149,8.11
REG-0012056,150,4.03
REG-0012056,151,2.2
REG-0012057,138,132
REG-0012057,139,164
REG-0012057,140,BUENA
REG-0012057,141,0.04
REG-0012057,142,0.16
REG-0012057,143,2.31
REG-0012057,144,14.46
REG-0012057,145,18.3
REG-0012057,146,14.57
REG-0012057,147,13.59
REG-0012057,148,11.86
REG-0012057,149,8.78
REG-0012057,150,5.97
REG-0012057,151,3.7
REG-0012058,138,126
REG-0012058,139,152
REG-0012058,140,BUENA
REG-0012058,141,0.02
REG-0012058,142,0.08
REG-0012058,143,1.13
REG-0012058,144,9.96
REG-0012058,145,14.84
REG-0012058,146,17.43
REG-0012058,147,19.26
REG-0012058,148,14.52
REG-0012058,149,8.46
REG-0012058,150,4.33
REG-0012058,151,2.39
REG-0012059,138,127
REG-0012059,139,154
REG-0012059,140,BUENA
REG-0012059,141,0.03
REG-0012059,142,0.17
REG-0012059,143,1.94
REG-0012059,144,11.13
REG-0012059,145,14.33
REG-0012059,146,12.05
REG-0012059,147,12.07
REG-0012059,148,12.34
REG-0012059,149,11
REG-0012059,150,8.85
REG-0012059,151,6.17
REG-0012060,138,126
REG-0012060,139,152
REG-0012060,140,BUENA
REG-0012060,141,0.03
REG-0012060,142,0.05
REG-0012060,143,1.23
REG-0012060,144,10.94
REG-0012060,145,17.28
REG-0012060,146,19.16
REG-0012060,147,18.23
REG-0012060,148,12.79
REG-0012060,149,7.13
REG-0012060,150,3.68
REG-0012060,151,2.18
REG-0012061,138,128
REG-0012061,139,156
REG-0012061,140,BUENA
REG-0012061,141,0.02
REG-0012061,142,0.13
REG-0012061,143,1.24
REG-0012061,144,7.84
REG-0012061,145,10.39
REG-0012061,146,8.91
REG-0012061,147,9.65
REG-0012061,148,10.82
REG-0012061,149,11.39
REG-0012061,150,10.76
REG-0012061,151,9.11
REG-0012062,138,126
REG-0012062,139,152
REG-0012062,140,BUENA
REG-0012062,141,0.02
REG-0012062,142,0.06
REG-0012062,143,1.29
REG-0012062,144,10.45
REG-0012062,145,17.27
REG-0012062,146,18.38
REG-0012062,147,18.28
REG-0012062,148,13.44
REG-0012062,149,7.59
REG-0012062,150,4.02
REG-0012062,151,2.32
REG-0012063,138,120
REG-0012063,139,140
REG-0012063,140,BUENA
REG-0012063,141,0.01
REG-0012063,142,0.05
REG-0012063,143,0.72
REG-0012063,144,4.27
REG-0012063,145,7.07
REG-0012063,146,5.95
REG-0012063,147,6.69
REG-0012063,148,8.05
REG-0012063,149,9.16
REG-0012063,150,9.95
REG-0012063,151,10.15
REG-0012064,138,124
REG-0012064,139,148
REG-0012064,140,BUENA
REG-0012064,141,0.02
REG-0012064,142,0.09
REG-0012064,143,1.2
REG-0012064,144,9.62
REG-0012064,145,14.47
REG-0012064,146,15.72
REG-0012064,147,17.96
REG-0012064,148,15.3
REG-0012064,149,10.08
REG-0012064,150,5.41
REG-0012064,151,2.77
REG-0012065,138,123
REG-0012065,139,146
REG-0012065,140,BUENA
REG-0012065,141,0.01
REG-0012065,142,0.27
REG-0012065,143,3.32
REG-0012065,144,23.81
REG-0012065,145,25.44
REG-0012065,146,11.5
REG-0012065,147,8.68
REG-0012065,148,7.01
REG-0012065,149,5.61
REG-0012065,150,4.34
REG-0012065,151,3.14
REG-0012066,138,125
REG-0012066,139,150
REG-0012066,140,BUENA
REG-0012066,141,0.02
REG-0012066,142,0.04
REG-0012066,143,1
REG-0012066,144,9.09
REG-0012066,145,15.35
REG-0012066,146,18.24
REG-0012066,147,19.78
REG-0012066,148,14.51
REG-0012066,149,8.28
REG-0012066,150,4.2
REG-0012066,151,2.41
REG-0012067,138,130
REG-0012067,139,160
REG-0012067,140,BUENA
REG-0012067,141,0.03
REG-0012067,142,0.14
REG-0012067,143,1.52
REG-0012067,144,10.31
REG-0012067,145,15.37
REG-0012067,146,15.92
REG-0012067,147,17.24
REG-0012067,148,14.15
REG-0012067,149,9.07
REG-0012067,150,5.02
REG-0012067,151,2.83
REG-0012068,138,128
REG-0012068,139,156
REG-0012068,140,BUENA
REG-0012068,141,0.04
REG-0012068,142,0.14
REG-0012068,143,1.62
REG-0012068,144,11.11
REG-0012068,145,16.96
REG-0012068,146,16.92
REG-0012068,147,17.31
REG-0012068,148,13.33
REG-0012068,149,7.86
REG-0012068,150,4.23
REG-0012068,151,2.41
REG-0012069,138,136
REG-0012069,139,172
REG-0012069,140,BUENA
REG-0012069,141,0.01
REG-0012069,142,0.03
REG-0012069,143,1.06
