IdRegistro,IdVariable,Valor
REG-0025285,14,9.71
REG-0025285,4,10.16
REG-0025285,5,1.65
REG-0025285,6,12.9
REG-0025285,7,1.92
REG-0025285,8,1.26
REG-0025285,9,0.24
REG-0025285,10,1.46
REG-0025285,11,0.57
REG-0025285,12,125.24
REG-0025285,13,0.46
REG-0025286,1,43.05
REG-0025286,2,8.65
REG-0025286,3,7.98
REG-0025286,14,9.68
REG-0025286,4,10.06
REG-0025286,5,1.73
REG-0025286,6,12.83
REG-0025286,7,1.9
REG-0025286,8,1.24
REG-0025286,9,0.23
REG-0025286,10,1.46
REG-0025286,11,0.52
REG-0025286,12,126.36
REG-0025286,13,0.48
REG-0025287,1,42.82
REG-0025287,2,9.28
REG-0025287,3,7.64
REG-0025287,14,9.42
REG-0025287,4,10.22
REG-0025287,5,1.67
REG-0025287,6,12.63
REG-0025287,7,1.91
REG-0025287,8,1.24
REG-0025287,9,0.21
REG-0025287,10,1.48
REG-0025287,11,0.53
REG-0025287,12,123.26
REG-0025287,13,0.53
REG-0025288,1,42.84
REG-0025288,2,8.59
REG-0025288,3,8.04
REG-0025288,14,9.9
REG-0025288,4,10.27
REG-0025288,5,1.72
REG-0025288,6,12.67
REG-0025288,7,1.93
REG-0025288,8,1.21
REG-0025288,9,0.19
REG-0025288,10,1.5
REG-0025288,11,0.55
REG-0025288,12,117.64
REG-0025288,13,0.49
REG-0025289,1,42.78
REG-0025289,2,9.24
REG-0025289,3,7.66
REG-0025289,14,9.44
REG-0025289,4,10.28
REG-0025289,5,1.59
REG-0025289,6,12.66
REG-0025289,7,1.95
REG-0025289,8,1.23
REG-0025289,9,0.21
REG-0025289,10,1.41
REG-0025289,11,0.53
REG-0025289,12,126.39
REG-0025289,13,0.55
