IdRegistro,IdMotivo_Causa,IdDecision,ObservacionPulmon
REG-0012313,,,
REG-0012314,,,
REG-0012315,,,
REG-0012316,,,Flotabilidad 0.33 / Particulas por gramo 2333  / Densidad 1.28
REG-0012317,,,Flotabilidad 0.28 / Particulas por gramo 2065  / Densidad 1.28
REG-0012318,,,
REG-0012319,,,
REG-0012320,,,
REG-0012321,,,
REG-0012322,,,
REG-0012323,,,
REG-0012324,,,
REG-0012325,,,
REG-0012326,,,
REG-0012327,,,
REG-0012328,,,
REG-0012329,,,Flotabilidad 0.30 / Particulas por gramo 2240 / Densidad 1.26
REG-0012330,,,Flotabilidad 0.22 / Particulas por gramo 2107 / Densidad 1.29
REG-0012331,,,
REG-0012332,,,
REG-0012333,,,
REG-0012334,,,
REG-0012335,,,
REG-0012336,,,
REG-0012337,,,
REG-0012338,,,
REG-0012339,,,
REG-0012340,,,Flotabilidad 0.33 / Particulas por gramo 2353 / Densidad 1.26
REG-0012341,,,Flotabilidad 0.29/ Particulas por gramo 2026 / Densidad 1.28
REG-0012342,,,
REG-0012343,,,
REG-0012344,,,
REG-0012345,,,
REG-0012346,,,
REG-0012347,,,
REG-0012348,,,
REG-0012349,,,
REG-0012350,,,
REG-0012351,,,
REG-0012352,,,
REG-0012353,,,
REG-0012354,,,Flotabilidad 0.23 / Particulas por gramo  2042 / Densidad 1.26
REG-0012355,,,Flotabilidad 0.17 / Particulas por gramo 1813
REG-0012356,,,Flotabilidad 0.58% / Reflote 0.43% / Conformidad (Long) 39.48
REG-0012357,,,
REG-0012358,,,
REG-0012359,,,
REG-0012360,,,
REG-0012361,,,
REG-0012362,,,
REG-0012363,,,Flotabilidad 0.03 / Particulas por gramo 2300 / Densidad 1.25
REG-0012364,,,Flotabilidad 0.07 / Particulas por gramo 1844
REG-0012365,,,
REG-0012366,,,
REG-0012367,,,
REG-0012368,,,
REG-0012369,,,
REG-0012370,,,
REG-0012371,,,
REG-0012372,,,Flotabilidad 0.05 / Densidad 1.26
REG-0012373,,,Flotabilidad 0.04 / Particulas por gramo 2000
REG-0012374,,,
REG-0012375,,,
REG-0012376,,,
REG-0012377,,,
REG-0012378,,,
REG-0012379,,,
REG-0012380,,,Flotabilidad 0.24 / Particulas por gramo 1929/ Densidad 1.28
REG-0012381,,,Flotabilidad 0.18 / Particulas por gramo 1833 / Densidad 1.28
REG-0012382,,,
REG-0012383,,,
REG-0012384,,,
REG-0012385,,,
REG-0012386,,,
REG-0012387,,,
REG-0012388,,,
REG-0012389,,,Flotabilidad 0.18 / Particulas por gramo 1867 / Densidad 1.28
REG-0012390,,,Flotabilidad 0.07 / Particulas por gramo 1913
REG-0012391,,,
REG-0012392,,,
REG-0012393,,,
REG-0012394,,,
REG-0012395,,,
REG-0012396,,,
REG-0012397,,,
REG-0012398,,,
REG-0012399,,,Flotabilidad 0.26 / Particulas por gramo  20.91 / Densidad 1.27 / Proteina alta 37.98
REG-0012400,,,Flotabilidad  0.04 / Particulas por gramo 1904
REG-0012401,,,
REG-0012402,,,
REG-0012403,,,
REG-0012404,,,
REG-0012405,,,
REG-0012406,,,
REG-0012407,,,
REG-0012408,,,Flotabilidad 0.28 / Particulas por gramo  2065/ Densidad 1.28
REG-0012409,,,Flotabilidad  0.24 / Particulas por gramo 1964 / Densidad 1.28
REG-0012410,,,
REG-0012411,,,
REG-0012412,,,
REG-0012413,,,
REG-0012414,,,
REG-0012415,,,
REG-0012416,,,
REG-0012417,,,
REG-0012418,,,Flotabilidad 0.12 / Particulas por gramo 2200 / Densidad 1.28
REG-0012419,,,Flotabilidad 0.11 / Particulas por gramo 2167
REG-0012420,,,
REG-0012421,,,
REG-0012422,,,
REG-0012423,,,
REG-0012424,,,
REG-0012425,,,
REG-0012426,,,
REG-0012427,,,Flotabilidad 0.10 / Particulas por gramo 1979 / Densidad 1.29
REG-0012428,,,Flotabilidad 0.09 / Particulas por gramo 2135
REG-0012429,,,
REG-0012430,,,
REG-0012431,,,Flotabilidad 0.16 / Particulas por gramo 2133
REG-0012432,,,
REG-0012433,,,
REG-0012434,,,
REG-0012435,,,
REG-0012436,,,Flotabilidad 0.16  / Particulas por gramo 2258  / Densidad 1.28
REG-0012437,,,Flotabilidad 0.14 / Particulas por gramo 2065
REG-0012438,,,
REG-0012439,,,
REG-0012440,,,
REG-0012441,,,
REG-0012442,,,Flotabilidad 0.07 / Particulas por gramo 2065 / Densidad 1.28
REG-0012443,,,
REG-0012444,,,
REG-0012445,,,Flotabilidad 0.06  / Densidad 1.28
REG-0012446,,,
REG-0012447,,,
REG-0012448,,,
REG-0012449,,,
REG-0012450,,,
REG-0012451,,,
REG-0012452,,,
REG-0012453,,,
REG-0012454,,,
REG-0012455,,,Flotabilidad 0.13 / Particulas por gramo 2417 / Densidad 1.26
REG-0012456,,,Flotabilidad 0.02 / Particulas por gramo 2156/  Prote�na alta 39.01
REG-0012457,,,
REG-0012458,,,
REG-0012459,,,
REG-0012460,,,
REG-0012461,,,
REG-0012462,,,Flotabilidad 0.10 / Particulas por gramo 2031
REG-0012463,,,Flotabilidad 0.14 / Particulas por gramo 2419
REG-0012464,,,
REG-0012465,,,
REG-0012466,,,
REG-0012467,,,
REG-0012468,,,
REG-0012469,,,
REG-0012470,,,
REG-0012471,,1.0,Aw alta 0.64
REG-0012472,,,Aw alto 0.64
REG-0012473,,,
REG-0012474,,,
REG-0012475,113.0,,Flotabilidad 0.34 / Particulas por gramo 2320 / Densidad 1.28
REG-0012476,,,Flotabilidad 0.22 / Particulas por gramo 2033 / Densidad 1.29
REG-0012477,,,
REG-0012478,,,
REG-0012479,,,
REG-0012480,,,
REG-0012481,,,
REG-0012482,,,
REG-0012483,,,
REG-0012484,,,
REG-0012485,,,
REG-0012486,,,
REG-0012487,,,
REG-0012488,,,
REG-0012489,113.0,,Flotabilidad 0.16 / Particulas por gramo 2462 / Densidad 1.28
REG-0012490,,,Flotabilidad 0.32 / Particulas por gramo 2067 / Densidad 1.28
REG-0012491,,,
REG-0012492,,,
REG-0012493,,,
REG-0012494,,,
REG-0012495,,,
REG-0012496,,,
REG-0012497,,,
REG-0012498,,,
REG-0012499,,,Flotabilidad 0.18 / Particulas por gramo 2263 / Densidad 1.26
REG-0012500,,,Flotabilidad 0.12 / Particulas por gramo 2143
REG-0012501,,,
REG-0012502,,,
REG-0012503,,,
REG-0012504,,,
REG-0012505,,,
REG-0012506,,,
REG-0012507,,,
REG-0012508,,,
REG-0012509,,,
REG-0012510,,,
REG-0012511,,,Flotabilidad 0.74 / Densidad 1.25
REG-0012512,,,Flotabilidad 0.06
REG-0012513,,,
REG-0012514,,,
REG-0012515,,,
REG-0012516,,,
REG-0012517,,,
REG-0012518,,,
REG-0012519,,,
REG-0012520,,,
REG-0012521,,,
REG-0012522,,,
REG-0012523,,,
REG-0012524,,,Flotabilidad 0.33 / Densidad 1.25
REG-0012525,,,Flotabilidad 0.08 / Particulas por gramo / Densidad
REG-0012526,,,
REG-0012527,,,
REG-0012528,,,
REG-0012529,,,
REG-0012530,,,
REG-0012531,,,
REG-0012532,,,
REG-0012533,,,
REG-0012534,,,
REG-0012535,,,
REG-0012536,,,
REG-0012537,,,Flotabilidad 0.50 / Particulas por gramo / Densidad 1.28
REG-0012538,,,Flotabilidad 0.05 / Particulas por gramo 2030
REG-0012539,,,
REG-0012540,,,
REG-0012541,,,
REG-0012542,,,
REG-0012543,,,
REG-0012544,,,
REG-0012545,,,
REG-0012546,,,
REG-0012547,,,
REG-0012548,,,
REG-0012549,,,Flotabilidad 0.31 / Densidad 1.28
REG-0012550,,,Flotabilidad 0.14 / Densidad 1.29 / Particulas por gramo 2095
REG-0012551,,,Flotabilidad 0.16 / Densidad 1.28 / Particulas por gramo 2033
REG-0012552,,,
REG-0012553,,,
REG-0012554,,1.0,Aw alto 0.70 / Humedad alta 13
REG-0012555,,,
REG-0012556,,,
REG-0012557,,,
REG-0012558,,,
REG-0012559,,,
REG-0012560,,,
REG-0012561,,1.0,Flotabilidad  1.30
REG-0012562,,,Flotabilidad  0.30
REG-0012563,,,
REG-0012564,,,
REG-0012565,,,
REG-0012566,,,
REG-0012567,,,
REG-0012568,,,
REG-0012569,,,Flotabilidad  1.0 / Densidad 1.28
REG-0012570,,,Flotabilidad  0.26 / Particulas por gramo 2043
REG-0012571,,1.0,Flotabilidad 0.86 / Densidad 1.28
REG-0012572,,,
REG-0012573,,,
REG-0012574,,,
REG-0012575,,,
REG-0012576,,,
REG-0012577,,,
REG-0012578,,,
REG-0012579,,,Flotabilidad  0.72 / Densidad 1.28
REG-0012580,,,Particulas por gramo 2000
REG-0012581,,,
REG-0012582,,,
REG-0012583,,,
REG-0012584,,,
REG-0012585,,,
REG-0012586,,,
REG-0012587,,,
REG-0012588,,,
REG-0012589,,,
REG-0012590,,,
REG-0012591,,,Flotabilidad 0.50 /  Particulas por gramo 2387
REG-0012592,,,Flotabilidad 0.12  /  Particulas por gramo 2206
REG-0012593,,1.0,Flotabilidad  0.44 / aw 0.64
REG-0012594,,,
REG-0012595,,,
REG-0012596,,,
REG-0012597,,,
REG-0012598,,,
REG-0012599,,,
REG-0012600,,,
REG-0012601,,,
REG-0012602,,,
REG-0012603,,,
REG-0012604,,1.0,Aw alto 0.64 / Humedad alta 11.26 / Proteina baja 40.14
REG-0012605,,,Flotabilidad 0.12 / Densidad 1.28
REG-0012606,,,Flotabilidad 0.15 / Densidad 1.29 / Particulas por gramo 2429
REG-0012607,,,Flotabilidad 0.30 / Particulas por gramo 2000
REG-0012608,,,
REG-0012609,,,
REG-0012610,,,
REG-0012611,,,
REG-0012612,,,
REG-0012613,,,
REG-0012614,,,
REG-0012615,,,
REG-0012616,,,
REG-0012617,,,
REG-0012618,,,
REG-0012619,,,flotabilidad 0.18
REG-0012620,,,flotabilidad 0.17 / Densidad 1.29
REG-0012621,,,flotabilidad 0.27
REG-0012622,,,
REG-0012623,,,
REG-0012624,,1.0,Hidroestabilidad Mala / PM 204
REG-0012625,,,
REG-0012626,,,
REG-0012627,,,
REG-0012628,,,
REG-0012629,,,
REG-0012630,,,
REG-0012631,,,
REG-0012632,,,Flotabilidad 0.42 / Particulas por gramo 2133
REG-0012633,,,Flotabilidad 0.10 / Particulas por gramo 2857
REG-0012634,,,Flotabilidad 0.49 / Particulas por gramo 2088
REG-0012635,,,
REG-0012636,,,
REG-0012637,,,
REG-0012638,,,
REG-0012639,,,
REG-0012640,,,
REG-0012641,,,
REG-0012642,,,
REG-0012643,,,
REG-0012644,,,
REG-0012645,,,
REG-0012646,,,Flotabilidad 0.19 / Densidad 1.29
REG-0012647,,,Flotabilidad 0.19 / Particulas por gramo 1933
REG-0012648,,,Flotabilidad 0.16 / Densidad 1.29
REG-0012649,,,
REG-0012650,,,
REG-0012651,,,
REG-0012652,,,Hidroestabilidad Regular / Pm 194 / Flotabilidad 0.17
REG-0012653,,,
REG-0012654,,,flotabilidad 0.06 / particulas por gramo  2059
REG-0012655,,,flotabilidad
REG-0012656,,,flotabilidad 0.13 / particulas por gramo 2121
REG-0012657,,,
REG-0012658,,,
REG-0012659,,,
REG-0012660,,,
REG-0012661,,,
REG-0012662,,,
REG-0012663,,,
REG-0012664,,,
REG-0012665,,,
REG-0012666,,,
REG-0012667,,,Hidroestabilidad Regular / Pm 180
REG-0012668,,,flotabilidad 0.12
REG-0012669,,1.0,Humedad alta 12.21  / Aw  alto 0.66
REG-0012670,,,flotabilidad 0.68  / Particulas por gramo 1944
REG-0012671,,,
REG-0012672,,,
REG-0012673,,,
REG-0012674,,,
REG-0012675,,,
REG-0012676,,,
REG-0012677,,,
REG-0012678,,,
REG-0012679,,,
REG-0012680,,,
REG-0012681,147.0,,Flotabilidad 0.40 / Humedad alta 11.20 / Particulas por gramo 2318 / Densidad 1.29
REG-0012682,,,Flotabilidad 0.26 / Particulas por gramo 2037
REG-0012683,,,Flotabilidad 0.68 / Particulas por gramo 2167 / Densidad 1.29
REG-0012684,,,
REG-0012685,,,
REG-0012686,113.0,,Flotabilida 0.23 / Particulas por gramo 2059
REG-0012687,,,
REG-0012688,,,
REG-0012689,,,
REG-0012690,,,
REG-0012691,,,
REG-0012692,,,
REG-0012693,,,
REG-0012694,,,
REG-0012695,,,
REG-0012696,,,
REG-0012697,,,
REG-0012698,,,
REG-0012699,,,
REG-0012700,113.0,,Flotabilidad 0.26 / Particulas por gramo 2059
REG-0012701,113.0,,Flotabilidad 0.05 / Particulas por gramo 2188
REG-0012702,113.0,,Flotabilidad 0.72
REG-0012703,,,
REG-0012704,,,
REG-0012705,,,
REG-0012706,,,
REG-0012707,,,
REG-0012708,,,
REG-0012709,,,
REG-0012710,,,
REG-0012711,,,
REG-0012712,,,
REG-0012713,,,
REG-0012714,,,
REG-0012715,,,
REG-0012716,113.0,,Flotabilidad 0.39 / Densidad 1.28
REG-0012717,113.0,,Flotabilidad 0.15 / Particulas por gramo 2387
REG-0012718,113.0,,Flotabilidad 0.45 / Densidad 1.28
REG-0012719,,,
REG-0012720,,,
REG-0012721,,,
REG-0012722,,,
REG-0012723,,,
REG-0012724,,,
REG-0012725,,,
REG-0012726,,,
REG-0012727,,,
REG-0012728,,,
REG-0012729,,,
REG-0012730,,,
REG-0012731,,,
REG-0012732,,,
REG-0012733,,,
REG-0012734,,,
REG-0012735,,,
REG-0012736,113.0,,Flotabilidad 0.35 / Particulas por gramo 2121
REG-0012737,113.0,,Flotabilidad 0.05
REG-0012738,113.0,,Flotabilidad 0.59
REG-0012739,,,
REG-0012740,,,
REG-0012741,,,
REG-0012742,,,
REG-0012743,,,
REG-0012744,,,
REG-0012745,,,
REG-0012746,,,
REG-0012747,,,
REG-0012748,,,
REG-0012749,,,
REG-0012750,,,
REG-0012751,,,
REG-0012752,,,
REG-0012753,,,
REG-0012754,,,
REG-0012755,,,
REG-0012756,,,
REG-0012757,113.0,,Flotabilidad 0.08 / Densidad 1.29
REG-0012758,113.0,,Flotabilidad 0.12 / Particulas por gramo
REG-0012759,113.0,,Flotabilidad 0.41 / Particulas por gramo
REG-0012760,,,
REG-0012761,,,
REG-0012762,,,
REG-0012763,,,
REG-0012764,,,
REG-0012765,,,
REG-0012766,,,
REG-0012767,,,
REG-0012768,,,
REG-0012769,,,
REG-0012770,,,
REG-0012771,,,
REG-0012772,,,
REG-0012773,,,
