IdRegistro,IdRango,Valor
REG-0012059,153,0.09
REG-0012059,154,0.01
REG-0012059,155,0.4
REG-0012059,156,3.65
REG-0012059,157,58.48
REG-0012059,158,33.44
REG-0012059,159,1.4
REG-0012059,160,2.5
REG-0012060,152,0.08
REG-0012060,153,0.15
REG-0012060,154,0.06
REG-0012060,155,0.21
REG-0012060,156,4.13
REG-0012060,157,62.18
REG-0012060,158,30.22
REG-0012060,159,2.41
REG-0012060,160,0.56
REG-0012061,152,0.03
REG-0012061,153,0.11
REG-0012061,154,0.05
REG-0012061,155,0.24
REG-0012061,156,2.57
REG-0012061,157,53.71
REG-0012061,158,38.25
REG-0012061,159,1.84
REG-0012061,160,3.2
REG-0012062,152,0.03
REG-0012062,153,0.2
REG-0012062,154,0.13
REG-0012062,155,0.2
REG-0012062,156,4.1
REG-0012062,157,60.36
REG-0012062,158,32.08
REG-0012062,159,2.28
REG-0012062,160,0.62
REG-0012063,152,0.09
REG-0012063,153,0.05
REG-0012063,154,0.05
REG-0012063,155,0.18
REG-0012063,156,1.62
REG-0012063,157,46.85
REG-0012063,158,45.89
REG-0012063,159,2.48
REG-0012063,160,2.79
REG-0012064,152,0.1
REG-0012064,153,0.14
REG-0012064,154,0.22
REG-0012064,155,0.27
REG-0012064,156,5.11
REG-0012064,157,62.67
REG-0012064,158,28.59
REG-0012064,159,2.16
REG-0012064,160,0.74
REG-0012065,152,0.04
REG-0012065,153,0.17
REG-0012065,154,0.11
REG-0012065,155,0.41
REG-0012065,156,3.68
REG-0012065,157,57.6
REG-0012065,158,34.15
REG-0012065,159,1.92
REG-0012065,160,1.92
REG-0012066,152,0.01
REG-0012066,153,0.08
REG-0012066,154,0.24
REG-0012066,155,0.24
REG-0012066,156,3.38
REG-0012066,157,61.09
REG-0012066,158,31.84
REG-0012066,159,2.47
REG-0012066,160,0.65
REG-0012067,152,0.27
REG-0012067,153,0.38
REG-0012067,154,0.17
REG-0012067,155,0.53
REG-0012067,156,5.88
REG-0012067,157,63.23
REG-0012067,158,27.09
REG-0012067,159,1.85
REG-0012067,160,0.6
REG-0012068,152,0.14
REG-0012068,153,0.3
REG-0012068,154,0.21
REG-0012068,155,0.57
REG-0012068,156,5.74
REG-0012068,157,58.41
REG-0012068,158,31.43
REG-0012068,159,2.42
REG-0012068,160,0.78
REG-0012069,152,0.05
REG-0012069,153,0.17
REG-0012069,154,0.37
REG-0012069,155,0.27
REG-0012069,156,1.92
REG-0012069,157,63.56
REG-0012069,158,30.31
REG-0012069,159,2.71
REG-0012069,160,0.64
REG-0012070,152,0.33
REG-0012070,153,0.55
REG-0012070,154,0.14
REG-0012070,155,0.4
REG-0012070,156,4.61
REG-0012070,157,52.84
REG-0012070,158,37.06
REG-0012070,159,3.16
REG-0012070,160,0.91
REG-0012071,152,0.03
REG-0012071,153,0.0
REG-0012071,154,0.05
REG-0012071,155,0.24
REG-0012071,156,4.71
REG-0012071,157,53.98
REG-0012071,158,36.71
REG-0012071,159,2.56
REG-0012071,160,1.72
REG-0012072,152,0.04
REG-0012072,153,1.0
REG-0012072,154,0.71
REG-0012072,155,0.87
REG-0012072,156,5.85
REG-0012072,157,50.81
REG-0012072,158,35.8
REG-0012072,159,3.94
REG-0012072,160,0.98
REG-0012073,152,0.01
REG-0012073,153,0.16
REG-0012073,154,0.51
REG-0012073,155,0.27
REG-0012073,156,2.76
REG-0012073,157,59.34
REG-0012073,158,33.56
REG-0012073,159,2.53
REG-0012073,160,0.86
REG-0012074,152,0.04
REG-0012074,153,0.45
REG-0012074,154,0.5
REG-0012074,155,0.47
REG-0012074,156,6.07
REG-0012074,157,58.44
REG-0012074,158,30.52
REG-0012074,159,2.63
REG-0012074,160,0.88
REG-0012075,152,0.02
REG-0012075,153,0.01
REG-0012075,154,0.03
REG-0012075,155,0.67
REG-0012075,156,12.14
REG-0012075,157,45.5
REG-0012075,158,31.7
REG-0012075,159,4.66
REG-0012075,160,5.27
REG-0012076,152,0.07
REG-0012076,153,0.79
REG-0012076,154,0.44
REG-0012076,155,0.86
REG-0012076,156,6.2
REG-0012076,157,49.85
REG-0012076,158,34.96
REG-0012076,159,4.03
REG-0012076,160,2.8
REG-0012077,152,0.01
REG-0012077,153,0.01
REG-0012077,154,0.07
REG-0012077,155,1.68
REG-0012077,156,16.14
REG-0012077,157,43.19
REG-0012077,158,28.7
REG-0012077,159,4.92
REG-0012077,160,5.28
REG-0012078,152,0.06
REG-0012078,153,0.82
REG-0012078,154,0.55
REG-0012078,155,0.85
REG-0012078,156,10.49
REG-0012078,157,65.28
REG-0012078,158,20.0
REG-0012078,159,1.37
REG-0012078,160,0.58
REG-0012079,152,0.03
REG-0012079,153,0.08
REG-0012079,154,0.21
REG-0012079,155,1.97
REG-0012079,156,16.09
REG-0012079,157,44.04
REG-0012079,158,29.58
REG-0012079,159,4.48
REG-0012079,160,3.52
REG-0012080,152,0.16
REG-0012080,153,1.04
REG-0012080,154,0.83
REG-0012080,155,1.73
REG-0012080,156,9.22
REG-0012080,157,57.18
REG-0012080,158,26.47
REG-0012080,159,2.14
REG-0012080,160,1.23
REG-0012081,152,0.04
REG-0012081,153,0.19
REG-0012081,154,0.38
REG-0012081,155,1.96
REG-0012081,156,15.88
REG-0012081,157,43.38
REG-0012081,158,30.28
REG-0012081,159,4.8
REG-0012081,160,3.09
REG-0012082,152,0.01
REG-0012082,153,0.03
REG-0012082,154,0.13
REG-0012082,155,1.16
REG-0012082,156,13.31
REG-0012082,157,45.82
REG-0012082,158,31.42
REG-0012082,159,4.29
REG-0012082,160,3.83
REG-0012083,152,0.03
REG-0012083,153,0.64
REG-0012083,154,0.31
REG-0012083,155,0.49
REG-0012083,156,5.29
REG-0012083,157,56.98
REG-0012083,158,32.64
REG-0012083,159,2.52
REG-0012083,160,1.1
REG-0012084,152,0.12
REG-0012084,153,0.23
REG-0012084,154,0.29
REG-0012084,155,1.79
REG-0012084,156,15.92
REG-0012084,157,40.12
REG-0012084,158,30.99
REG-0012084,159,6.24
REG-0012084,160,4.3
REG-0012085,152,0.01
REG-0012085,153,0.07
REG-0012085,154,0.28
REG-0012085,155,0.27
REG-0012085,156,8.09
REG-0012085,157,76.21
REG-0012085,158,13.05
REG-0012085,159,0.65
REG-0012085,160,1.37
REG-0012086,152,0.18
REG-0012086,153,0.06
REG-0012086,154,0.29
REG-0012086,155,1.49
REG-0012086,156,12.73
REG-0012086,157,39.77
REG-0012086,158,33.52
